Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
161,0,44.5375,-18.6994,1052.55,15.3261,-23.8135,1196.63,-96.4113,-22.6879,1421.13,-50.505,89.9992,1359.68
162,0,47.3536,-19.0719,1053.98,15.3631,-24.3673,1198.26,-101.223,-22.9142,1420.48,-54.0767,89.7972,1360.11
163,0,50.0766,-19.508,1055.49,15.3158,-24.9784,1199.9,-106.15,-23.117,1419.65,-57.7171,89.4495,1360.3
164,0,52.7894,-19.913,1057.04,15.1641,-25.5608,1201.51,-111.249,-23.3114,1418.52,-61.7566,89.2479,1360.16
165,0,55.5233,-20.2701,1058.64,14.8915,-26.1171,1203.07,-116.464,-23.5415,1417.11,-65.4173,88.7966,1359.88
166,0,58.3187,-20.6049,1060.19,14.5626,-26.703,1204.52,-121.839,-23.7094,1415.35,-69.4849,88.8138,1359.11
167,0,61.103,-20.9454,1061.72,14.2327,-27.2369,1205.82,-127.335,-23.9011,1413.34,-74.099,88.7724,1357.99
168,0,63.9186,-21.2893,1063.2,13.7768,-27.7613,1207.02,-132.942,-24.0745,1410.96,-78.5344,88.7349,1356.84
169,0,66.6312,-21.6851,1064.56,13.1581,-28.3799,1208.06,-138.65,-24.2681,1408.28,-82.9156,88.7241,1355.64
170,0,69.2081,-22.1796,1065.82,12.5091,-28.9751,1208.92,-144.51,-24.4132,1405.31,-87.8939,88.4727,1353.6
171,0,71.7998,-22.6938,1067.04,11.7598,-29.5551,1209.64,-150.364,-24.5303,1401.97,-92.5632,88.4839,1351.4
172,0,74.2429,-23.2704,1068.05,10.9646,-30.1249,1210.26,-156.339,-24.6262,1398.3,-97.502,88.6249,1348.84
173,0,76.7534,-23.79,1069.04,10.082,-30.7156,1210.65,-162.346,-24.7615,1394.23,-101.961,88.5735,1346.7
174,0,79.2688,-24.3531,1069.93,9.23093,-31.2354,1210.94,-168.273,-24.804,1389.97,-106.735,88.5945,1343.86
175,0,81.8229,-24.8651,1070.77,8.21931,-31.7501,1211.23,-174.345,-24.8804,1385.17,-112.4,88.8453,1340.32
176,0,84.3614,-25.431,1071.54,7.17209,-32.2632,1211.47,-180.542,-25.0696,1379.92,-117.34,88.6726,1336.85
177,0,86.8645,-26.0214,1072.26,5.99833,-32.8128,1211.57,-186.882,-25.2845,1374.32,-122.085,89.4265,1332.84
