Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
191,0,19.0384,364.403,1036.89,1.47077,350.883,1202.96,7.49608,302.9,1461.11,-99.5627,270.304,1350.37
192,0,18.0538,366.402,1037.78,1.54457,351.01,1205.08,11.1775,299.062,1462.57,-97.2432,267.791,1352.78
193,0,16.9265,368.632,1038.73,1.60832,351.268,1207.37,15.1406,294.908,1464.03,-94.7634,265.022,1355.35
194,0,15.676,371.087,1039.65,1.69408,351.594,1209.8,19.3399,290.468,1465.45,-92.1378,262.091,1357.95
195,0,14.3071,373.701,1040.59,1.82185,352.022,1212.4,23.7551,285.659,1466.75,-89.3359,258.926,1360.59
196,0,12.8765,376.486,1041.51,2.01799,352.515,1215.12,28.2577,280.977,1468.01,-86.3366,255.53,1363.14
197,0,11.3319,379.501,1042.44,2.20207,353.042,1217.99,33.2175,275.557,1468.91,-83.1545,251.898,1365.67
198,0,9.7157,382.652,1043.33,2.38446,353.537,1220.98,38.5546,269.765,1469.53,-79.7813,248.052,1368.02
199,0,7.92767,385.976,1044.15,2.6122,354.014,1223.96,42.7233,265.865,1470.15,-76.1596,243.888,1370.3
200,0,6.00231,389.345,1044.96,2.97975,354.344,1226.96,48.891,258.658,1470.03,-72.3925,239.534,1372.31
201,0,3.99959,392.851,1045.69,3.38216,354.489,1230.03,54.9562,251.733,1469.35,-68.4351,234.84,1374.03
202,0,1.88224,396.469,1046.4,3.94521,354.497,1233.12,61.142,244.555,1468.03,-64.3858,230.002,1375.31
203,0,-0.316069,400.165,1047.04,4.67464,354.326,1236.06,67.4322,237.152,1466.05,-59.9386,224.707,1376.15
204,0,-2.51732,403.933,1047.54,5.50946,353.969,1238.67,73.8935,229.569,1463.3,-55.5619,219.515,1376.32
205,0,-4.76811,407.796,1048.05,6.50256,353.498,1240.9,81.2802,220.405,1459.35,-50.9753,213.9,1375.82
206,0,-6.97733,411.626,1048.44,7.60158,352.855,1242.8,87.8469,212.622,1454.91,-46.2279,208.179,1374.59
207,0,-9.14802,415.447,1048.72,8.78773,351.867,1244.17,94.3435,204.869,1449.64,-41.3533,201.97,1372.42
208,0,-11.2231,419.134,1048.97,9.9553,350.699,1244.96,100.778,197.091,1443.59,-36.6415,196.042,1369.74
209,0,-13.2112,422.67,1049.15,11.1675,349.222,1245.22,107.119,189.312,1436.78,-31.9268,189.869,1366.17
210,0,-15.2654,426.114,1049.27,12.5226,347.491,1245.14,113.223,181.778,1429.29,-27.2157,183.392,1361.82
211,0,-17.3497,429.492,1049.44,14.0707,345.374,1244.75,119.276,174.012,1420.85,-22.5748,176.848,1356.77
